Id,Name,Industry,Type,BillingCity,Phone,Website,CreatedDate
001gL00000PzAg9QAF,Edge Communications,Electronics,Customer - Direct,Austin,(512) 757-6000,http://edgecomm.com,2025-10-01T22:30:17.000+0000
001gL00000PzAgAQAV,Burlington Textiles Corp of America,Apparel,Customer - Direct,Burlington,(336) 222-7000,www.burlington.com,2025-10-01T22:30:17.000+0000
001gL00000PzAgBQAV,Pyramid Construction Inc.,Construction,Customer - Channel,Paris,(014) 427-4427,www.pyramid.com,2025-10-01T22:30:17.000+0000
001gL00000PzAgCQAV,Dickenson plc,Consulting,Customer - Channel,Lawrence,(785) 241-6200,dickenson-consulting.com,2025-10-01T22:30:17.000+0000
001gL00000PzAgDQAV,Grand Hotels & Resorts Ltd,Hospitality,Customer - Direct,Chicago,(312) 596-1000,www.grandhotels.com,2025-10-01T22:30:17.000+0000
001gL00000PzAgEQAV,United Oil & Gas Corp.,Energy,Customer - Direct,New York,(212) 842-5500,http://www.uos.com,2025-10-01T22:30:17.000+0000
001gL00000PzAgFQAV,Express Logistics and Transport,Transportation,Customer - Channel,Portland,(503) 421-7800,www.expressl&t.net,2025-10-01T22:30:17.000+0000
001gL00000PzAgGQAV,University of Arizona,Education,Customer - Direct,Tucson,(520) 773-9050,www.universityofarizona.com,2025-10-01T22:30:17.000+0000
001gL00000PzAgHQAV,"United Oil & Gas, UK",Energy,Customer - Direct,,+44 191 4956203,http://www.uos.com,2025-10-01T22:30:17.000+0000
001gL00000PzAgIQAV,"United Oil & Gas, Singapore",Energy,Customer - Direct,Singapore,(650) 450-8810,http://www.uos.com,2025-10-01T22:30:17.000+0000
